"codice_fiscale","nome","cognome","telefono"
LVSBPI91T07BDM1W,Lisa,Gallo,+39 758 42417160
RJNWSS29L12BLV8M,Romolo,Ferretti,+39 88 8578163
ZGWCIF91J30NJB6Z,Boris,Fabbri,+39 672 04036481
FAXGKL07V01EBM3K,Vania,Gallo,+39 06 0089038
GFCEWU00S60DLX6R,Maristella,Marino,+39 721 8497102
AXSLJQ71B72SMI1N,Renato,Vitale,+39 6430 6578551
IIXVMC50A60HCT7R,Gregorio,Battaglia,+39 07 05730317
QLHLJZ02Z74CVK2Q,Danthon,Riva,+39 75 95908612
UPRPEO39U76JFW0M,Fulvio,Farina,+39 798 3514278
LWQFVI87N14PSM1K,Fortunata,Martinelli,+39 5098 4067317
CWGYHC11Z18FRD0H,Albino,Fabbri,+39 3004 85338492
NXUFHK30N71NIN1N,Giobbe,Romano,+39 8947 37597962
VOBIIS46R63UBL3B,Gianantonio,Galli,+39 55 47148433
ALIGCC71R10GWX0U,Quarto,Cattaneo,+39 8286 5151802
KJVGSV54B70GIF2H,Emidio,Palumbo,+39 169 0607418
VBNWZB74D46EKY6R,Omar,Rossi,+39 15 53030565
MYAERV77A96OLJ1K,Edvige,Sanna,+39 508 81 91 5362
ZYYREP87J12WPI1S,Cirino,Bianchi,+39 9460 82100090
ILTVMC85O34WHQ9U,Amerigo,Morelli,+39 9355 6480372
SUUHDA76E56WKG0F,Vinicio,Palmieri,+39 768 7658185
NHQFYY01A96EAY4N,Mercedes,Gallo,+39 4344 04306674
LBELIP22A47AFE6P,Gastone,Testa,+39 636 5540184
JEDWXS67N14ZOY4T,Ferdinando,Russo,+39 8824 22130342
LUGQNC94R14KNX4L,Audenico,Conti,+39 155 30005097
TQJTZU99Y29NJV0S,Mietta,Sorrentino,+39 956 9650140
LVIQXF93I19YRB0M,Laerte,Leone,+39 550 18382670
NQWRRO42K77EAI5J,Cecco,Fabbri,+39 7797 6979888
ZBRAKR78G90YZU9N,Emilia,Vitale,+39 384 8180964
