"classe","volo"
1,"V1"
2,"V1"
3,"V1"
1,"V2"
2,"V2"
3,"V2"
1,"V3"
2,"V3"
3,"V3"
1,"V4"
2,"V4"
3,"V4"
1,"V5"
2,"V5"
3,"V5"
1,"V6"
2,"V6"
3,"V6"
1,"V7"
2,"V7"
3,"V7"
1,"V8"
2,"V8"
3,"V8"
1,"V9"
2,"V9"
3,"V9"
1,"V10"
2,"V10"
3,"V10"
1,"V11"
2,"V11"
3,"V11"
1,"V12"
2,"V12"
3,"V12"
1,"V13"
2,"V13"
3,"V13"
1,"V14"
2,"V14"
3,"V14"
1,"V15"
2,"V15"
3,"V15"
1,"V16"
2,"V16"
3,"V16"
1,"V17"
2,"V17"
3,"V17"
1,"V18"
2,"V18"
3,"V18"
1,"V19"
2,"V19"
3,"V19"
1,"V20"
2,"V20"
3,"V20"
1,"V21"
2,"V21"
3,"V21"
1,"V22"
2,"V22"
3,"V22"
1,"V23"
2,"V23"
3,"V23"
1,"V24"
2,"V24"
3,"V24"
1,"V25"
2,"V25"
3,"V25"
1,"V26"
2,"V26"
3,"V26"
1,"V27"
2,"V27"
3,"V27"
1,"V28"
2,"V28"
3,"V28"
1,"V29"
2,"V29"
3,"V29"
1,"V30"
2,"V30"
3,"V30"
1,"V31"
2,"V31"
3,"V31"
1,"V32"
2,"V32"
3,"V32"
1,"V33"
2,"V33"
3,"V33"
1,"V34"
2,"V34"
3,"V34"
1,"V35"
2,"V35"
3,"V35"
1,"V36"
2,"V36"
3,"V36"
1,"V37"
2,"V37"
3,"V37"
1,"V38"
2,"V38"
3,"V38"
1,"V39"
2,"V39"
3,"V39"
1,"V40"
2,"V40"
3,"V40"
1,"V41"
2,"V41"
3,"V41"
1,"V42"
2,"V42"
3,"V42"
1,"V43"
2,"V43"
3,"V43"
1,"V44"
2,"V44"
3,"V44"
1,"V45"
2,"V45"
3,"V45"
1,"V46"
2,"V46"
3,"V46"
1,"V47"
2,"V47"
3,"V47"
1,"V48"
2,"V48"
3,"V48"
1,"V49"
2,"V49"
3,"V49"
1,"V50"
2,"V50"
3,"V50"
1,"V51"
2,"V51"
3,"V51"
1,"V52"
2,"V52"
3,"V52"
1,"V53"
2,"V53"
3,"V53"
1,"V54"
2,"V54"
3,"V54"
1,"V55"
2,"V55"
3,"V55"
1,"V56"
2,"V56"
3,"V56"
1,"V57"
2,"V57"
3,"V57"
1,"V58"
2,"V58"
3,"V58"
1,"V59"
2,"V59"
3,"V59"
1,"V60"
2,"V60"
3,"V60"
1,"V61"
2,"V61"
3,"V61"
1,"V62"
2,"V62"
3,"V62"
1,"V63"
2,"V63"
3,"V63"
1,"V64"
2,"V64"
3,"V64"
1,"V65"
2,"V65"
3,"V65"
1,"V66"
2,"V66"
3,"V66"
1,"V67"
2,"V67"
3,"V67"
1,"V68"
2,"V68"
3,"V68"
1,"V69"
2,"V69"
3,"V69"
1,"V70"
2,"V70"
3,"V70"
1,"V71"
2,"V71"
3,"V71"
1,"V72"
2,"V72"
3,"V72"
1,"V73"
2,"V73"
3,"V73"
1,"V74"
2,"V74"
3,"V74"
1,"V75"
2,"V75"
3,"V75"
1,"V76"
2,"V76"
3,"V76"
1,"V77"
2,"V77"
3,"V77"
1,"V78"
2,"V78"
3,"V78"
1,"V79"
2,"V79"
3,"V79"
1,"V80"
2,"V80"
3,"V80"
1,"V81"
2,"V81"
3,"V81"
1,"V82"
2,"V82"
3,"V82"
1,"V83"
2,"V83"
3,"V83"
1,"V84"
2,"V84"
3,"V84"
1,"V85"
2,"V85"
3,"V85"
1,"V86"
2,"V86"
3,"V86"
1,"V87"
2,"V87"
3,"V87"
1,"V88"
2,"V88"
3,"V88"
1,"V89"
2,"V89"
3,"V89"
1,"V90"
2,"V90"
3,"V90"
1,"V91"
2,"V91"
3,"V91"
1,"V92"
2,"V92"
3,"V92"
1,"V93"
2,"V93"
3,"V93"
1,"V94"
2,"V94"
3,"V94"
1,"V95"
2,"V95"
3,"V95"
1,"V96"
2,"V96"
3,"V96"
1,"V97"
2,"V97"
3,"V97"
1,"V98"
2,"V98"
3,"V98"
1,"V99"
2,"V99"
3,"V99"
1,"V100"
2,"V100"
3,"V100"
